station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-10.0, 99.0, None, None, -12.0, -6.5, 1987-01-25 06:00:00, None, None, None
-6.5, 100.0, None, None, -10.0, -4.5, 1987-01-25 18:00:00, None, None, None
-10.0, 100.0, None, None, -11.5, -6.5, 1987-01-26 06:00:00, None, None, None
-6.0, 100.0, None, None, -10.0, -6.0, 1987-01-26 18:00:00, None, None, None
-8.0, 100.0, None, None, -8.5, -4.0, 1987-01-27 06:00:00, None, None, None
-4.0, 99.0, None, None, -8.0, -4.0, 1987-01-27 18:00:00, None, None, None
-4.0, 95.0, None, None, -5.0, -3.0, 1987-01-28 06:00:00, None, None, None
-4.0, 100.0, None, None, -4.0, -3.0, 1987-01-28 18:00:00, None, None, None
-4.0, 95.0, None, None, -5.0, -4.0, 1987-01-29 06:00:00, None, None, None
-4.0, 99.0, None, None, -4.0, -2.0, 1987-01-29 18:00:00, None, None, None
-3.0, 85.0, None, None, -4.0, -3.0, 1987-01-30 06:00:00, None, None, None
-9.0, 90.0, None, None, -9.0, -2.0, 1987-01-30 18:00:00, None, None, None
-4.0, 94.0, None, None, -9.0, -4.0, 1987-01-31 06:00:00, None, None, None
-5.0, 100.0, None, None, -5.0, -3.0, 1987-01-31 18:00:00, None, None, None
-4.0, 97.0, None, None, -5.0, -3.0, 1987-02-01 06:00:00, None, None, None
-8.5, None, None, None, -8.5, -4.0, 1987-02-01 18:00:00, None, None, None
-8.0, 95.0, None, None, None, None, 1987-02-02 18:00:00, None, None, None
-4.0, 82.0, None, None, -10.0, -4.0, 1987-02-03 06:00:00, None, None, None
-4.0, 100.0, None, None, -4.0, -1.5, 1987-02-03 18:00:00, None, None, None
-4.5, 100.0, None, None, -4.5, -4.0, 1987-02-04 06:00:00, None, None, None
-2.0, 100.0, None, None, -4.5, -1.0, 1987-02-04 18:00:00, None, None, None
-3.0, 85.0, None, None, -4.0, -2.0, 1987-02-05 06:00:00, None, None, None
-3.0, 97.0, None, None, -3.0, 3.0, 1987-02-05 18:00:00, None, None, None
-5.0, 75.0, None, None, -9.0, -1.0, 1987-02-06 06:00:00, None, None, None
