station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
-1.0, None, None, None, None, None, None, 1977-02-07 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-02-07 16:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-02-08 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-02-08 16:00:00, None, None, None, None
-12.0, None, None, 5.0, None, None, None, 1977-02-09 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-02-09 20:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-02-10 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-02-10 16:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-02-11 08:00:00, None, None, None, None
4.0, None, None, None, None, None, None, 1977-02-11 16:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-02-12 08:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-02-12 16:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-02-13 08:00:00, None, None, None, None
3.0, None, None, None, None, None, None, 1977-02-13 15:00:00, None, None, None, None
-2.0, None, None, None, None, None, None, 1977-02-14 08:00:00, None, None, None, None
3.0, None, None, None, None, None, None, 1977-02-14 16:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1977-02-15 08:00:00, None, None, None, None
5.0, None, None, None, None, None, None, 1977-02-15 16:00:00, None, None, None, 36.0
2.0, None, None, None, None, None, None, 1977-02-16 08:00:00, None, None, None, 36.0
2.0, None, None, None, None, None, None, 1977-02-16 16:00:00, None, None, None, 36.0
-5.0, None, None, None, None, None, None, 1977-02-17 08:00:00, None, None, None, 36.0
-3.0, None, None, 2.0, None, None, None, 1977-02-17 16:00:00, None, None, None, 36.0
3.0, None, None, None, None, None, None, 1977-02-18 08:00:00, None, None, None, 36.0
6.0, None, None, None, None, None, None, 1977-02-18 16:00:00, None, None, None, 36.0
-10.0, None, None, None, None, None, None, 1977-02-19 08:00:00, None, None, None, 35.0
4.0, None, None, None, None, None, None, 1977-02-19 16:00:00, None, None, None, 32.0
-2.0, None, None, None, None, None, None, 1977-02-20 08:00:00, None, None, None, 30.0
3.0, None, None, None, None, None, None, 1977-02-20 16:00:00, None, None, None, None
0.0, None, None, 5.0, None, None, None, 1977-02-21 08:00:00, None, None, None, 39.0
3.0, None, None, None, None, None, None, 1977-02-21 16:00:00, None, None, None, 39.0
2.0, None, None, None, None, None, None, 1977-02-22 08:00:00, None, None, None, 39.0
3.0, None, None, None, None, None, None, 1977-02-22 16:00:00, None, None, None, 39.0
2.0, None, None, None, None, None, None, 1977-02-23 08:00:00, None, None, None, 39.0
4.0, None, None, None, None, None, None, 1977-02-23 16:00:00, None, None, None, 33.0
-5.0, None, None, None, None, None, None, 1977-02-24 08:00:00, None, None, None, 33.0
4.0, None, None, None, None, None, None, 1977-02-24 16:00:00, None, None, None, 30.0
-3.0, None, None, None, None, None, None, 1977-02-25 08:00:00, None, None, None, 30.0
2.0, None, None, None, None, None, None, 1977-02-25 16:00:00, None, None, None, 30.0
1.0, None, None, None, None, None, None, 1977-02-26 08:00:00, None, None, None, 30.0
5.0, None, None, None, None, None, None, 1977-02-26 16:00:00, None, None, None, 30.0
0.0, None, None, 6.0, None, None, None, 1977-02-27 08:00:00, None, None, None, 36.0
6.0, None, None, 2.0, None, None, None, 1977-02-27 16:00:00, None, None, None, 36.0
-4.0, None, None, None, None, None, None, 1977-02-28 08:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-02-28 16:00:00, None, None, None, 32.0
0.0, None, None, None, None, None, None, 1977-03-01 08:00:00, None, None, None, 32.0
5.0, None, None, None, None, None, None, 1977-03-01 16:00:00, None, None, None, 30.0
1.0, None, None, None, None, None, None, 1977-03-02 08:00:00, None, None, None, 30.0
4.0, None, None, None, None, None, None, 1977-03-02 16:00:00, None, None, None, 30.0
-2.0, None, None, None, None, None, None, 1977-03-03 08:00:00, None, None, None, 30.0
5.0, None, None, None, None, None, None, 1977-03-03 17:00:00, None, None, None, 28.0
-1.0, None, None, None, None, None, None, 1977-03-04 08:00:00, None, None, None, 25.0
7.0, None, None, None, None, None, None, 1977-03-04 16:00:00, None, None, None, 20.0
1.0, None, None, None, None, None, None, 1977-03-05 08:00:00, None, None, None, 20.0
2.0, None, None, None, None, None, None, 1977-03-05 16:00:00, None, None, None, 20.0
1.0, None, None, None, None, None, None, 1977-03-06 08:00:00, None, None, None, 20.0
4.0, None, None, None, None, None, None, 1977-03-06 16:00:00, None, None, None, 20.0
1.0, None, None, None, None, None, None, 1977-03-07 08:00:00, None, None, None, 15.0
6.0, None, None, None, None, None, None, 1977-03-07 21:00:00, None, None, None, 10.0
4.0, None, None, None, None, None, None, 1977-03-08 16:00:00, None, None, None, 0.0
1.0, None, None, None, None, None, None, 1977-03-09 08:00:00, None, None, None, 0.0
4.0, None, None, None, None, None, None, 1977-03-09 16:00:00, None, None, None, 0.0
-1.0, None, None, None, None, None, None, 1977-03-10 08:00:00, None, None, None, 0.0
5.0, None, None, None, None, None, None, 1977-03-10 16:00:00, None, None, None, 0.0
-2.0, None, None, None, None, None, None, 1977-03-11 08:00:00, None, None, None, 0.0
5.0, None, None, None, None, None, None, 1977-03-11 16:00:00, None, None, None, 0.0
0.0, None, None, None, None, None, None, 1977-03-12 08:00:00, None, None, None, 0.0
4.0, None, None, None, None, None, None, 1977-03-12 16:00:00, None, None, None, 0.0
-4.0, None, None, None, None, None, None, 1977-03-13 08:00:00, None, None, None, 6.0
7.0, None, None, None, None, None, None, 1977-03-13 16:00:00, None, None, None, 0.0
-8.0, None, None, None, None, None, None, 1977-03-14 08:00:00, None, None, None, 0.0
5.0, None, None, None, None, None, None, 1977-03-14 16:00:00, None, None, None, 0.0
-7.0, None, None, None, None, None, None, 1977-03-15 08:00:00, None, None, None, 0.0
5.0, None, None, None, None, None, None, 1977-03-15 16:00:00, None, None, None, 0.0
-6.0, None, None, None, None, None, None, 1977-03-16 08:00:00, None, None, None, 0.0
8.0, None, None, None, None, None, None, 1977-03-16 16:00:00, None, None, None, 0.0
-2.0, None, None, None, None, None, None, 1977-03-17 08:00:00, None, None, None, 0.0
0.0, None, None, None, None, None, None, 1977-03-17 21:00:00, None, None, None, 0.0
-2.0, None, None, None, None, None, None, 1977-03-18 08:00:00, None, None, None, 0.0
5.0, None, None, None, None, None, None, 1977-03-18 16:00:00, None, None, None, 0.0
-1.0, None, None, None, None, None, None, 1977-03-19 08:00:00, None, None, None, 2.0
4.0, None, None, None, None, None, None, 1977-03-19 16:00:00, None, None, None, 0.0
-4.0, None, None, None, None, None, None, 1977-03-20 08:00:00, None, None, None, 0.0
0.0, None, None, None, None, None, None, 1977-03-20 20:00:00, None, None, None, 0.0
1.0, None, None, 15.0, None, None, None, 1977-03-21 08:00:00, None, None, None, 15.0
1.0, None, None, 1.0, None, None, None, 1977-03-21 16:00:00, None, None, None, 5.0
1.0, None, None, None, None, None, None, 1977-03-22 08:00:00, None, None, None, 3.0
3.0, None, None, None, None, None, None, 1977-03-22 16:00:00, None, None, None, 0.0
1.0, None, None, None, None, None, None, 1977-03-23 08:00:00, None, None, None, 0.0
2.0, None, None, None, None, None, None, 1977-03-23 20:00:00, None, None, None, 0.0
3.0, None, None, None, None, None, None, 1977-03-24 08:00:00, None, None, None, 0.0
8.0, None, None, None, None, None, None, 1977-03-24 16:00:00, None, None, None, 0.0
1.0, None, None, None, None, None, None, 1977-03-25 07:00:00, None, None, None, 0.0
5.0, None, None, None, None, None, None, 1977-03-25 21:00:00, None, None, None, 0.0
1.0, None, None, 5.0, None, None, None, 1977-03-26 07:00:00, None, None, None, 5.0
1.0, None, None, None, None, None, None, 1977-03-26 19:00:00, None, None, None, 5.0
2.0, None, None, 4.0, None, None, None, 1977-03-27 07:00:00, None, None, None, 8.0
6.0, None, None, None, None, None, None, 1977-03-27 16:00:00, None, None, None, 0.0
-2.0, None, None, None, None, None, None, 1977-03-28 08:00:00, None, None, None, 0.0
10.0, None, None, None, None, None, None, 1977-03-28 16:00:00, None, None, None, 0.0
-2.0, None, None, None, None, None, None, 1977-03-29 08:00:00, None, None, None, 0.0
2.0, None, None, None, None, None, None, 1977-03-29 21:00:00, None, None, None, 0.0
-1.0, None, None, None, None, None, None, 1977-03-30 08:00:00, None, None, None, 0.0
11.0, None, None, None, None, None, None, 1977-03-30 16:00:00, None, None, None, 0.0
-1.0, None, None, None, None, None, None, 1977-03-31 08:00:00, None, None, None, 0.0
6.0, None, None, None, None, None, None, 1977-03-31 16:00:00, None, None, None, 0.0
-2.0, None, None, None, None, None, None, 1977-04-01 08:00:00, None, None, None, 0.0
-2.0, None, None, None, None, None, None, 1977-04-02 07:00:00, None, None, None, 0.0
10.0, None, None, None, None, None, None, 1977-04-02 21:00:00, None, None, None, 0.0
1.0, None, None, None, None, None, None, 1977-04-03 07:00:00, None, None, None, 0.0
15.0, None, None, None, None, None, None, 1977-04-03 16:00:00, None, None, None, 0.0
2.0, None, None, None, None, None, None, 1977-04-04 08:00:00, None, None, None, 0.0
6.0, None, None, None, None, None, None, 1977-04-05 08:00:00, None, None, None, 0.0
6.0, None, None, None, None, None, None, 1977-04-06 08:00:00, None, None, None, 0.0
None, None, None, None, None, None, None, 1977-04-15 08:00:00, None, None, None, 0.0
7.0, None, None, None, None, None, None, 1977-04-16 08:00:00, None, None, None, 0.0
None, None, None, None, None, None, None, 1977-04-18 08:00:00, None, None, None, 0.0
3.0, None, None, None, None, None, None, 1977-11-01 08:00:00, None, None, None, None
4.0, None, None, None, None, None, None, 1977-11-01 15:00:00, None, None, None, None
8.0, None, None, None, None, None, None, 1977-11-02 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-11-02 15:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-11-03 08:00:00, None, None, None, None
5.0, None, None, None, None, None, None, 1977-11-03 15:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1977-11-04 08:00:00, None, None, None, None
4.0, None, None, None, None, None, None, 1977-11-04 15:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1977-11-05 07:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-11-05 15:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-11-06 07:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-11-06 15:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-11-07 08:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-11-07 15:00:00, None, None, None, None
-4.0, None, None, None, None, None, None, 1977-11-08 08:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-11-08 15:00:00, None, None, None, None
-1.0, None, None, None, None, None, None, 1977-11-09 08:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-11-09 15:00:00, None, None, None, None
0.0, None, None, 6.0, None, None, None, 1977-11-10 08:00:00, None, None, None, None
1.0, None, None, None, None, None, None, 1977-11-10 15:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-11-11 08:00:00, None, None, None, None
4.0, None, None, None, None, None, None, 1977-11-11 15:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-11-12 08:00:00, None, None, None, None
5.0, None, None, None, None, None, None, 1977-11-12 15:00:00, None, None, None, None
3.0, None, None, None, None, None, None, 1977-11-13 08:00:00, None, None, None, None
5.0, None, None, None, None, None, None, 1977-11-13 15:00:00, None, None, None, None
2.0, None, None, None, None, None, None, 1977-11-14 08:00:00, None, None, None, None
3.0, None, None, None, None, None, None, 1977-11-14 16:00:00, None, None, None, None
-2.0, None, None, None, -2.0, None, None, 1977-11-15 08:00:00, None, None, None, None
0.0, None, None, 2.0, None, None, None, 1977-11-15 16:00:00, None, None, None, 39.0
-1.0, None, None, 2.0, None, None, None, 1977-11-16 08:00:00, None, None, None, None
1.0, None, None, 3.0, None, None, None, 1977-11-16 16:00:00, None, None, None, None
0.0, None, None, None, None, None, None, 1977-11-17 09:00:00, None, None, None, None
-2.0, None, None, 4.0, None, None, None, 1977-11-17 16:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-11-18 08:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-11-18 16:00:00, None, None, None, None
-13.0, None, None, None, None, None, None, 1977-11-19 08:00:00, None, None, None, None
-5.0, None, None, None, None, None, None, 1977-11-19 15:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-11-20 08:00:00, None, None, None, None
-8.0, None, None, None, None, None, None, 1977-11-20 15:00:00, None, None, None, None
-11.0, None, None, None, None, None, None, 1977-11-21 08:00:00, None, None, None, None
-8.0, None, None, None, None, None, None, 1977-11-21 16:00:00, None, None, None, None
-16.0, None, None, None, None, None, None, 1977-11-22 08:00:00, None, None, None, None
-12.0, None, None, None, None, None, None, 1977-11-22 16:00:00, None, None, None, None
-12.0, None, None, None, None, None, None, 1977-11-23 08:00:00, None, None, None, None
-10.0, None, None, None, None, None, None, 1977-11-23 16:00:00, None, None, None, None
-9.0, None, None, None, None, None, None, 1977-11-24 08:00:00, None, None, None, None
-7.0, None, None, None, None, None, None, 1977-11-24 16:00:00, None, None, None, None
-6.0, None, None, None, None, None, None, 1977-11-25 08:00:00, None, None, None, None
-3.0, None, None, None, None, None, None, 1977-11-25 16:00:00, None, None, None, None
